ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-02-13,308.9337885766154,134.88548170869836,356.4982886847177,308.9337885766154,308.9337885766154,-60.76508278758968,-60.76508278758968,-60.76508278758968,-17.074125446517925,-17.074125446517925,-17.074125446517925,-43.69095734107174,-43.69095734107174,-43.69095734107174,0.0,0.0,0.0,248.16870578902575
2000-02-14,308.9355275667692,162.474596036556,380.33202398424584,308.9355275667692,308.9355275667692,-38.374058653213524,-38.374058653213524,-38.374058653213524,5.076433594886402,5.076433594886402,5.076433594886402,-43.45049224809993,-43.45049224809993,-43.45049224809993,0.0,0.0,0.0,270.5614689135557
2000-02-15,308.9372665569231,161.65440306934852,383.3973092359684,308.9372665569231,308.9372665569231,-34.440037113878354,-34.440037113878354,-34.440037113878354,8.713815014830985,8.713815014830985,8.713815014830985,-43.15385212870933,-43.15385212870933,-43.15385212870933,0.0,0.0,0.0,274.4972294430447
2000-02-16,308.93900554707693,165.02847616538781,381.0320143628915,308.93900554707693,308.93900554707693,-33.44098341611804,-33.44098341611804,-33.44098341611804,9.378677292955794,9.378677292955794,9.378677292955794,-42.81966070907383,-42.81966070907383,-42.81966070907383,0.0,0.0,0.0,275.4980221309589
2000-02-17,308.9407445372308,169.77239915924648,380.5109921137295,308.9407445372308,308.9407445372308,-34.580051046884826,-34.580051046884826,-34.580051046884826,7.8868138800046195,7.8868138800046195,7.8868138800046195,-42.46686492688945,-42.46686492688945,-42.46686492688945,0.0,0.0,0.0,274.36069349034597
2000-02-18,308.94248352738464,157.8799487902507,374.390999799163,308.94248352738464,308.94248352738464,-40.84414760896292,-40.84414760896292,-40.84414760896292,1.2700219011476537,1.2700219011476537,1.2700219011476537,-42.11416951011057,-42.11416951011057,-42.11416951011057,0.0,0.0,0.0,268.0983359184217
2000-02-19,308.9442225175385,141.24538540263114,359.5697467584683,308.9442225175385,308.9442225175385,-57.031124126074175,-57.031124126074175,-57.031124126074175,-15.251636237329437,-15.251636237329437,-15.251636237329437,-41.779487888744725,-41.779487888744725,-41.779487888744725,0.0,0.0,0.0,251.9130983914643
2000-02-20,308.9459615076923,146.98772555957186,366.824998131189,308.9459615076923,308.9459615076923,-58.55355039098742,-58.55355039098742,-58.55355039098742,-17.07412544650972,-17.07412544650972,-17.07412544650972,-41.47942494447769,-41.47942494447769,-41.47942494447769,0.0,0.0,0.0,250.39241111670486
2000-02-21,308.94770049784614,169.20426679951535,386.98783961221926,308.94770049784614,308.94770049784614,-36.15237243392217,-36.15237243392217,-36.15237243392217,5.076433594897869,5.076433594897869,5.076433594897869,-41.228806028820046,-41.228806028820046,-41.228806028820046,0.0,0.0,0.0,272.795328063924
2000-02-22,308.949439488,162.55165576855467,382.38050382454554,308.949439488,308.949439488,-32.32645018587222,-32.32645018587222,-32.32645018587222,8.71381501482931,8.71381501482931,8.71381501482931,-41.04026520070152,-41.04026520070152,-41.04026520070152,0.0,0.0,0.0,276.6229893021278
2000-02-23,308.9511784781539,165.01315870062166,386.2317167764448,308.9511784781539,308.9511784781539,-31.54522650146024,-31.54522650146024,-31.54522650146024,9.378677292952823,9.378677292952823,9.378677292952823,-40.92390379441307,-40.92390379441307,-40.92390379441307,0.0,0.0,0.0,277.40595197669364
2000-02-24,308.9529174683077,165.04310228752985,385.1847062224949,308.9529174683077,308.9529174683077,-33.000214404411985,-33.000214404411985,-33.000214404411985,7.886813880007538,7.886813880007538,7.886813880007538,-40.88702828441953,-40.88702828441953,-40.88702828441953,0.0,0.0,0.0,275.95270306389574
2000-02-25,308.95465645846156,160.00513300832617,387.64490407492167,308.95465645846156,308.95465645846156,-39.66395212741569,-39.66395212741569,-39.66395212741569,1.2700219011326062,1.2700219011326062,1.2700219011326062,-40.93397402854829,-40.93397402854829,-40.93397402854829,0.0,0.0,0.0,269.29070433104584
2000-02-26,308.9563954486154,142.91730240938884,364.0158330594135,308.9563954486154,308.9563954486154,-56.31765515385383,-56.31765515385383,-56.31765515385383,-15.251636237342439,-15.251636237342439,-15.251636237342439,-41.06601891651139,-41.06601891651139,-41.06601891651139,0.0,0.0,0.0,252.6387402947616
2000-02-27,308.95813443876926,133.3358163497198,366.7306673898081,308.95813443876926,308.95813443876926,-58.35551374777821,-58.35551374777821,-58.35551374777821,-17.074125446492257,-17.074125446492257,-17.074125446492257,-41.28138830128596,-41.28138830128596,-41.28138830128596,0.0,0.0,0.0,250.60262069099105
2000-02-28,308.9598734289231,157.37414099160745,382.3728671114395,308.9598734289231,308.9598734289231,-36.49891632942137,-36.49891632942137,-36.49891632942137,5.076433594909335,5.076433594909335,5.076433594909335,-41.57534992433071,-41.57534992433071,-41.57534992433071,0.0,0.0,0.0,272.46095709950174
2000-02-29,308.96161241907697,166.91024852864857,393.4474577860995,308.96161241907697,308.96161241907697,-33.226579924192436,-33.226579924192436,-33.226579924192436,8.713815014831443,8.713815014831443,8.713815014831443,-41.940394939023875,-41.940394939023875,-41.940394939023875,0.0,0.0,0.0,275.73503249488454
2000-03-01,308.96335140923077,171.58172349430393,390.8557129639742,308.96335140923077,308.96335140923077,-32.987821372568334,-32.987821372568334,-32.987821372568334,9.378677292950195,9.378677292950195,9.378677292950195,-42.366498665518534,-42.366498665518534,-42.366498665518534,0.0,0.0,0.0,275.97553003666246
2000-03-02,308.9650903993846,164.6978910402597,389.8301640659654,308.9650903993846,308.9650903993846,-34.95463856495397,-34.95463856495397,-34.95463856495397,7.886813880010612,7.886813880010612,7.886813880010612,-42.84145244496459,-42.84145244496459,-42.84145244496459,0.0,0.0,0.0,274.0104518344307
2000-03-03,308.9668293895385,151.57583337412248,377.32103612892297,308.9668293895385,308.9668293895385,-42.08123406508737,-42.08123406508737,-42.08123406508737,1.270021901124935,1.270021901124935,1.270021901124935,-43.3512559662123,-43.3512559662123,-43.3512559662123,0.0,0.0,0.0,266.8855953244511
2000-03-04,308.96856837969233,142.39039842373919,350.14402075600844,308.96856837969233,308.96856837969233,-59.132194007196915,-59.132194007196915,-59.132194007196915,-15.25163623735544,-15.25163623735544,-15.25163623735544,-43.88055776984147,-43.88055776984147,-43.88055776984147,0.0,0.0,0.0,249.8363743724954
2000-03-05,308.9703073698462,142.86005010017416,357.0104186149978,308.9703073698462,308.9703073698462,-61.487255785187,-61.487255785187,-61.487255785187,-17.074125446507818,-17.074125446507818,-17.074125446507818,-44.41313033867918,-44.41313033867918,-44.41313033867918,0.0,0.0,0.0,247.48305158465917
2000-03-06,308.97204636000004,159.0116931671586,377.78188681879493,308.97204636000004,308.97204636000004,-39.855931701491,-39.855931701491,-39.855931701491,5.076433594888385,5.076433594888385,5.076433594888385,-44.93236529637939,-44.93236529637939,-44.93236529637939,0.0,0.0,0.0,269.11611465850905
2000-03-07,308.97378535015383,163.39139278733958,374.93361781231687,308.97378535015383,308.97378535015383,-36.7079587639164,-36.7079587639164,-36.7079587639164,8.71381501483137,8.71381501483137,8.71381501483137,-45.42177377874778,-45.42177377874778,-45.42177377874778,0.0,0.0,0.0,272.26582658623744
2000-03-08,308.9755243403077,162.8468280037231,371.27451739461776,308.9755243403077,308.9755243403077,-36.48679973414301,-36.48679973414301,-36.48679973414301,9.378677292947224,9.378677292947224,9.378677292947224,-45.865477027090236,-45.865477027090236,-45.865477027090236,0.0,0.0,0.0,272.4887246061647
2000-03-09,308.97726333046154,165.07550634169647,380.13815298539583,308.97726333046154,308.97726333046154,-38.36185879604405,-38.36185879604405,-38.36185879604405,7.886813880000432,7.886813880000432,7.886813880000432,-46.24867267604448,-46.24867267604448,-46.24867267604448,0.0,0.0,0.0,270.6154045344175
2000-03-10,308.9790023206154,147.69078792741496,373.08804013073467,308.9790023206154,308.9790023206154,-45.28804115380338,-45.28804115380338,-45.28804115380338,1.2700219011172653,1.2700219011172653,1.2700219011172653,-46.55806305492064,-46.55806305492064,-46.55806305492064,0.0,0.0,0.0,263.69096116681203
2000-03-11,308.98074131076925,139.70042974596896,358.72917385281187,308.98074131076925,308.98074131076925,-62.033869301321374,-62.033869301321374,-62.033869301321374,-15.251636237335967,-15.251636237335967,-15.251636237335967,-46.78223306398541,-46.78223306398541,-46.78223306398541,0.0,0.0,0.0,246.94687200944787
2000-03-12,308.9824803009231,138.44750991580145,359.12640745169506,308.9824803009231,308.9824803009231,-63.98609223268382,-63.98609223268382,-63.98609223268382,-17.074125446499615,-17.074125446499615,-17.074125446499615,-46.9119667861842,-46.9119667861842,-46.9119667861842,0.0,0.0,0.0,244.99638806823927
2000-03-13,308.9842192910769,163.73197715233138,376.21662228189626,308.9842192910769,308.9842192910769,-41.8640603066243,-41.8640603066243,-41.8640603066243,5.076433594901533,5.076433594901533,5.076433594901533,-46.94049390152584,-46.94049390152584,-46.94049390152584,0.0,0.0,0.0,267.1201589844526
2000-03-14,308.98595828123075,160.729677851224,384.6822912128086,308.98595828123075,308.98595828123075,-38.14984411290888,-38.14984411290888,-38.14984411290888,8.713815014829697,8.713815014829697,8.713815014829697,-46.863659127738586,-46.863659127738586,-46.863659127738586,0.0,0.0,0.0,270.83611416832184
