ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-02-06,308.6559981832088,134.88980978888986,356.02635514732344,308.6559981832088,308.6559981832088,-59.622725379114456,-59.622725379114456,-59.622725379114456,-17.07339137899595,-17.07339137899595,-17.07339137899595,-42.54933400011851,-42.54933400011851,-42.54933400011851,0.0,0.0,0.0,249.03327280409434
2000-02-07,308.6619275771868,160.65216374542072,376.615204501371,308.6619275771868,308.6619275771868,-38.009034773229345,-38.009034773229345,-38.009034773229345,5.076046282597054,5.076046282597054,5.076046282597054,-43.08508105582641,-43.08508105582641,-43.08508105582641,0.0,0.0,0.0,270.65289280395746
2000-02-08,308.66785697116484,165.65019957102172,385.46786628295087,308.66785697116484,308.66785697116484,-34.77366650209533,-34.77366650209533,-34.77366650209533,8.71319477524882,8.71319477524882,8.71319477524882,-43.486861277344154,-43.486861277344154,-43.486861277344154,0.0,0.0,0.0,273.8941904690695
2000-02-09,308.67378636514286,158.65739021681102,387.11887175803844,308.67378636514286,308.67378636514286,-34.37919624611972,-34.37919624611972,-34.37919624611972,9.377970628169832,9.377970628169832,9.377970628169832,-43.757166874289545,-43.757166874289545,-43.757166874289545,0.0,0.0,0.0,274.29459011902316
2000-02-10,308.6797157591209,166.06166017038862,385.0658766804951,308.6797157591209,308.6797157591209,-36.01580349878179,-36.01580349878179,-36.01580349878179,7.886106360008173,7.886106360008173,7.886106360008173,-43.90190985878996,-43.90190985878996,-43.90190985878996,0.0,0.0,0.0,272.6639122603391
2000-02-11,308.6856451530989,163.52872763903073,376.5915292931329,308.6856451530989,308.6856451530989,-42.66060399755314,-42.66060399755314,-42.66060399755314,1.2695676508030556,1.2695676508030556,1.2695676508030556,-43.9301716483562,-43.9301716483562,-43.9301716483562,0.0,0.0,0.0,266.02504115554575
2000-02-12,308.6915745470769,144.5914781091137,367.16771001108145,308.6915745470769,308.6915745470769,-59.10336267660857,-59.10336267660857,-59.10336267660857,-15.249494317841172,-15.249494317841172,-15.249494317841172,-43.8538683587674,-43.8538683587674,-43.8538683587674,0.0,0.0,0.0,249.58821187046834
2000-02-13,308.69750394105495,137.19038068935694,360.31922216520155,308.69750394105495,308.69750394105495,-60.76073360230261,-60.76073360230261,-60.76073360230261,-17.073391379053792,-17.073391379053792,-17.073391379053792,-43.68734222324883,-43.68734222324883,-43.68734222324883,0.0,0.0,0.0,247.93677033875235
2000-02-14,308.70343333503297,156.65340905634503,381.89749598750143,308.70343333503297,308.70343333503297,-38.370845282951485,-38.370845282951485,-38.370845282951485,5.0760462826102,5.0760462826102,5.0760462826102,-43.446891565561685,-43.446891565561685,-43.446891565561685,0.0,0.0,0.0,270.33258805208146
2000-02-15,308.709362729011,158.89167088473945,381.9001977443829,308.709362729011,308.709362729011,-34.4370586007434,-34.4370586007434,-34.4370586007434,8.713194775247146,8.713194775247146,8.713194775247146,-43.150253375990545,-43.150253375990545,-43.150253375990545,0.0,0.0,0.0,274.2723041282676
