Year,Quarter/Year,"GrossMetroProduct_Gross Metro Product: Total, (Bil. Chained 2017 $- SAAR)",GrossMetroProduct_% Change Between ,GrossMetroProduct_Dec,"TotalHouseholds_Number of Households, (Ths.)",TotalHouseholds_% Change Between ,TotalHouseholds_TY's Fcst,TotalPopulation_Total Population- (Ths. #- NSA),TotalPopulation_% Change Between ,TotalPopulation_TY's Fcst,TotalRealPersonalIncome_Income: Total Personal- (Mil. 2017 $- SAAR),TotalRealPersonalIncome_% Change Between ,TotalRealPersonalIncome_TY's Fcst,DisposableRealPersIncome_ Disposable Personal Income- (Mil. Ch. 2017 USD- SAAR),DisposableRealPersIncome_% Change Between ,DisposableRealPersIncome_TY's Fcst,PersonsPerHousehold_Persons per Household,PersonsPerHousehold_% Change Between ,PersonsPerHousehold_TY's Fcst,ResSFPermits_Permits: Residential - Single-Family- (#- SAAR),ResSFPermits_% Change Between ,ResSFPermits_TY's Fcst,ResMFPermits_Permits: Residential - Multifamily- (#- SAAR),ResMFPermits_% Change Between ,ResMFPermits_TY's Fcst,TotalResPermits_Permits: Residential - Total- (#- SAAR),TotalResPermits_% Change Between ,TotalResPermits_TY's Fcst,"ExistingSFHomeSales_Existing Single-Family Home Sales, (Ths., SAAR)",ExistingSFHomeSales_% Change Between ,"EmploymentTotNonAgric_Employment: Total Non-Agricultural, (Ths., SA)",EmploymentTotNonAgric_% Change Between ,EmploymentTotNonAgric_TY's Fcst,"TotalEmployed_Household Survey: Total Employed, (Ths., SA)",TotalEmployed_% Change Between ,TotalEmployed_TY's Fcst,"CPIIndex_CPI: Total - All Urban Consumers, (Index 1982-84=100, SA)",CPIIndex_% Change Between ,CPIIndex_TY's Fcst,FlaGrossStateProduct_Total- (Bil. Ch. 2017 USD- SAAR),FlaGrossStateProduct_% Change Between ,FlaGrossStateProduct_TY's Fcst,"FlaNbrOfHouseholds_ Households, (Ths., #)",FlaNbrOfHouseholds_% Change Between ,FlaNbrOfHouseholds_TY's Fcst,"FlaTotalPopulation_ Population: Total, (Ths., #)",FlaTotalPopulation_% Change Between ,FlaTotalPopulation_TY's Fcst,FlaTotalRealPersonalIncome_ Real Personal Income- (Mil. Ch. 2017 USD- SAAR),FlaTotalRealPersonalIncome_% Change Between ,FlaTotalRealPersonalIncome_TY's Fcst,FlaDisRealPersonalIncome_Disposable Personal Income- (Mil.  2017$- SAAR),FlaDisRealPersonalIncome_% Change Between ,FlaDisRealPersonalIncome_TY's Fcst,FlaTotalRealPersIncPerHsld_ Income: Total Personal per Household,FlaTotalRealPersIncPerHsld_% Change Between ,FlaTotalRealPersIncPerHsld_TY's Fcst,"FlaEmplymtTotNonAgricultur_ Employment: Total Nonagricultural, (Ths., SA)",FlaEmplymtTotNonAgricultur_% Change Between ,FlaEmplymtTotNonAgricultur_TY's Fcst,"FlaTotResidPermits_ Permits: Total Residential, (#,  SAAR)",FlaTotResidPermits_3,FlaTotResidPermits_TY's Fcst,FlaPersonsPerHsld_Persons per Household
2034,34Q4,47.1392,0.001403135332987152,0.007959465400359678,389.12683,0.04932427879165766,0.004076823017561647,986.02574,0.09848753133337186,0.003274486444472318,44573.759,0.03440692174068512,0.007602883413630608,39298.757,0.03684512716450242,0.007617185867457862,2.533944369757285,0.04685229679268255,-0.0007990788699593458,4006.6627,0.006318716639967774,-0.01422751580930088,2048.8326,0.1163816427887325,-0.007415680606098439,6055.4954,0.041044716974703,-0.01193325444566331,19.43963,-0.02916844997100921,322.14559,0.04164358248555902,0.002957480807804351,322.14559,0.04164358248555902,0.002957480807804351,400.26651,-0.03366331876906943,0.00644376543548234,1797.7122,0.01662585091718796,0.006960397771583731,10965.61,-0.007937595734576973,0.003819611795620364,26397.67,0.03630146849027849,0.00317216596045086,1826745,0.01966935996684805,0.007371270227648556,1617247.8,0.02631559909180233,0.00687997712858676,166.5885436377912,0.02782784186027759,0.003538144095107776,11099.861,0.01617672907839864,0.002657527374022414,139430.07,0.03278595631057613,-0.01203036479890691,2.407314321775076
2035,35Q1,47.51093,0.001563766489061716,0.007885793564591665,390.72997,0.04995660763032833,0.004119839282220649,989.22092,0.09904839775920193,0.003240463073509558,44909.755,0.03489016059273916,0.007537977669776498,39595.391,0.03731056203050682,0.007548177668825645,2.531725221896851,0.04675601807932811,-0.000875768184542262,3957.1859,0.00683580645744022,-0.01234863119373635,2040.6329,0.1189399270655503,-0.004002132726705012,5997.8187,0.0423667459454739,-0.009524687278269583,19.5313,-0.02896890620354598,323.10769,0.04193063119306756,0.002986537856998023,323.10769,0.04193063119306756,0.002986537856998023,402.79534,-0.03383562149194674,0.006317865564121334,1810.1448,0.01636777082728924,0.006915789969050716,11007.949,-0.007276817290201141,0.003861071112322975,26480.623,0.03689891037331865,0.003142436434730844,1840034,0.02013221445377553,0.007274688038012968,1628202.3,0.02624147814868879,0.006773544536588641,167.1550258817514,0.02760994426377674,0.003400487402014329,11129.22,0.01646774895341238,0.002644988076877589,137775.21,0.03403518528733965,-0.01186874538612808,2.40559099610654
2035,35Q2,47.88284,0.001733263960933894,0.007827882973454735,392.34327,0.05058820961944011,0.004128938458444941,992.4024,0.09960902367741473,0.00321614710695763,45245.579,0.03538552073355562,0.00747775177130226,39891.768,0.03777948238821355,0.007485138863763035,2.529423787490989,0.04666035046760293,-0.0009090379895720861,3907.9035,0.007488806943182022,-0.01245390063681366,2038.5474,0.1213540339037648,-0.001021986855156622,5946.4509,0.04382496645961602,-0.008564413592561574,19.62458,-0.02807090355929278,324.05537,0.04222459305671534,0.002933015924195401,324.05537,0.04222459305671534,0.002933015924195401,405.38461,-0.033981664113873,0.006428252124267374,1822.6766,0.01617232791248869,0.00692309256143485,11050.404,-0.006616233382892845,0.003856758420664914,26563.139,0.0374962533860134,0.00311608982915544,1853310.5,0.02057785646603416,0.007215355803207984,1639134.7,0.02614430885720141,0.00671439906453879,167.7142754237763,0.02737521063136994,0.003345693849615532,11158.618,0.0167712403256951,0.002641514859082761,136136.84,0.03526987946438166,-0.01189161678650314,2.403816095773512
2035,35Q3,48.25721,0.001913420623460368,0.007818458554254488,393.96955,0.05121933791116928,0.004145043701144685,995.57049,0.1001698418197074,0.003192344153944012,45581.107,0.03580842281772822,0.007415707952372667,40187.743,0.03817934913529851,0.007419450549296432,2.527023954008628,0.0465654522735526,-0.0009487668670744403,3863.9887,0.00829786688273808,-0.01123743203996721,2035.1865,0.1235566035970281,-0.001648673952835191,5899.1751,0.04529169957950194,-0.007950254831835816,19.71917,-0.0269759092384928,324.99248,0.04249878305499316,0.00289182061695203,324.99248,0.04249878305499316,0.00289182061695203,408.05624,-0.03411764794994162,0.006590358721314046,1835.4567,0.01604447074985018,0.007011721113882708,11093.02,-0.005955563704082594,0.003856510585495334,26645.248,0.03809385223906914,0.003091087992273819,1866563.4,0.02094476490817249,0.007150933424269655,1650047.3,0.02598286185176139,0.006657537052934145,168.264674543091,0.0270614950700727,0.003281766670869068,11188.015,0.01706416477217351,0.002634466024376766,134494.85,0.03648193924642341,-0.01206132006589833,2.40198322909361
2035,35Q4,48.63082,0.002092758059776704,0.00774205553947274,395.58205,0.05187466477618442,0.004092955914993823,998.66862,0.1007299765337761,0.003111914255313135,45914.753,0.03625192781924266,0.00731983099927769,40481.953,0.03860661942260778,0.007320888859073253,2.524554943784735,0.04644594398324722,-0.0009770426671170812,3812.5371,0.009300083610267153,-0.01331567041073383,2034.9755,0.1254926716824239,-0.0001036760021747455,5847.5126,0.04691276251851624,-0.008757580360684728,19.8087,-0.02613770166196742,325.91385,0.0428266780524806,0.002835050214085029,325.91385,0.0428266780524806,0.002835050214085029,410.7439,-0.03424426710536336,0.006586494057779863,1848.4195,0.01597700983267833,0.007062438465587347,11135.741,-0.005271398127319167,0.003851160459460052,26726.849,0.03869092103533742,0.00306249729782957,1879859.9,0.02133971290826208,0.007123519083252141,1661015,0.02587592707835889,0.006646900364613762,168.8131845020461,0.02675213217503045,0.003259804593236982,11217.4,0.01741138125018584,0.002626471273054266,132868.29,0.03764164377296896,-0.01209384597254094,2.400096140885461
2036,36Q1,49.00482,0.002288674924713142,0.007690596210386795,397.16719,0.05248443680991584,0.00400710800704942,1001.7557,0.1012894594275454,0.003091195555939281,46250.944,0.03677027432941957,0.007322069226856261,40778.382,0.03911659659146537,0.007322497508951617,2.522251901019316,0.04637125349383565,-0.0009122569390253045,3762.8335,0.01046409664621186,-0.01303688297223385,2023.9265,0.1272712011683499,-0.005429549397523449,5786.76,0.04846136126476321,-0.01038947739933041,19.89547,-0.02523023767750126,326.83092,0.04321365461742266,0.002813841756034507,326.83092,0.04321365461742266,0.002813841756034507,413.42186,-0.03436037792585132,0.006519780330273887,1861.5043,0.01597370034122782,0.007078912552047891,11177.613,-0.004629815975701368,0.003760144924347593,26808.096,0.03928750909053479,0.00303990193531617,1893298.8,0.02181431658129956,0.007148883807777453,1672142.1,0.0258842591683682,0.006698976228390528,169.3831053195347,0.02656713349608981,0.003376044466963169,11246.78,0.01781938225924305,0.002619145256476636,131261.22,0.03876514241736589,-0.0120952109792337,2.39837396410128
2036,36Q2,49.38081,0.002510905527788571,0.007672510581612064,398.70682,0.05298366281668227,0.003876528672975198,1004.8328,0.1018474971344456,0.003071707004013027,46587.965,0.03728123547973822,0.00728679181121132,41075.496,0.03962593660117424,0.007286066426078441,2.52022977685709,0.04640512103203481,-0.0008017138024195064,3714.0222,0.01170922484795296,-0.01297195318368466,2018.9287,0.1288541680819776,-0.002469358447552368,5732.9509,0.05008461102201184,-0.009298657625337908,19.98491,-0.02402753929790225,327.7444,0.0436005780834019,0.002794961994415928,327.7444,0.0436005780834019,0.002794961994415928,416.1504,-0.03447069706647581,0.006599892903582819,1874.7434,0.01602851252414345,0.007112043737959674,11218.166,-0.004092322773358681,0.003628055471235217,26889.071,0.03988263654664424,0.003020542749473836,1906824.9,0.02229488372432143,0.007144197207540543,1683392.8,0.02594092422351109,0.006728315733453487,169.9765273575021,0.02649563518895854,0.003503431093956699,11276.217,0.01823118875300603,0.002617371372072708,129660.16,0.03976540432277565,-0.01219750966812588,2.396922188528856
2036,36Q3,49.75421,0.002720922546111207,0.007561641860471786,400.2322,0.05347913764534867,0.003825818680503093,1007.8998,0.1024018178313174,0.00305224909059498,46925.385,0.03778685282467558,0.007242643030233357,41372.996,0.04013713429960939,0.007242760988205718,2.518287634028447,0.04643915426300387,-0.0007706213324190156,3662.4963,0.01303616358820448,-0.01387334195256025,2014.977,0.1301196476656146,-0.001957325189344154,5677.4733,0.05170675999160852,-0.009676971069122565,20.0713,-0.02328537344140895,328.62602,0.04398849543338837,0.002689962055797134,328.62602,0.04398849543338837,0.002689962055797134,418.95481,-0.03457399807986238,0.006738933808546186,1888.0566,0.01609892675077394,0.007101345176091738,11258.34,-0.00355833459603288,0.003581155778939346,26969.707,0.04047383006281374,0.002998839193812185,1920413.4,0.02278122226403001,0.007126244260812831,1694762.4,0.0260538581249884,0.006753979225763505,170.5769589477667,0.02643361651219642,0.003532438270148627,11304.642,0.01864453361182875,0.002520792212494604,128078.52,0.04065592631472894,-0.01219834990177399,2.395531401609829
2036,36Q4,50.12395,0.002931522703043598,0.007431330936618232,401.74175,0.0539711747196616,0.003771685536546153,1010.9573,0.1029526263365861,0.003033535674875622,47263.567,0.03830245045050275,0.007206802885048267,41671.072,0.04066230270691595,0.007204602731694871,2.51643574510242,0.04647323645255549,-0.0007353762536904533,3610.7188,0.014483291232229,-0.01413721564715292,2012.5598,0.1311063667565661,-0.001199616670562539,5623.2787,0.0533532869231481,-0.009545549073740217,20.15451,-0.02268701415016808,329.49164,0.04437707222584791,0.002634058009162012,329.49164,0.04437707222584791,0.002634058009162012,421.76567,-0.03467123806189601,0.006709220023037785,1901.3662,0.01619109691959924,0.00704936493958923,11298.077,-0.003027605746256398,0.003529561196410765,27050.088,0.04106160690049566,0.00298041799267605,1934113,0.02327166868081742,0.0071336723645024,1706302.9,0.02622594337838191,0.006809509108769466,171.1895750046667,0.0263791400631102,0.003591434978551832,11333.336,0.01905705174575661,0.002538249331557736,126498.91,0.04144432530621196,-0.01233313751595506,2.394220538592541
2037,37Q1,50.49206,0.003155569392228589,0.007343994238283326,403.24649,0.05445984043301503,0.003745540512032841,1014.0093,0.1035000294862516,0.003018920779344509,47600.923,0.03882994661696102,0.007137760042529159,41968.297,0.04120428634334328,0.007132645879616405,2.51461407636803,0.04650740329105197,-0.0007239083048057608,3565.5512,0.01604695673870672,-0.0125093097806454,2015.704,0.1320880183910442,0.001562288981425524,5581.2552,0.05510608104636314,-0.007473131289046769,20.24658,-0.02116099762718352,330.29988,0.04476792653029836,0.002452990916552405,330.29988,0.04476792653029836,0.002452990916552405,424.57093,-0.03476204016169548,0.006651228868390298,1914.8123,0.01630649798252672,0.007071809733443308,11337.687,-0.002500065325820051,0.003505906359108774,27130.289,0.04164596738911126,0.002964907175163383,1947884.7,0.02375865069452569,0.007120421609285473,1717993.5,0.02645840993462543,0.006851421280477278,171.80618057281,0.02632452906267393,0.003601887370340275,11360.843,0.01946760460298556,0.002427087664214793,124927.67,0.04223669350603431,-0.01242097659181415,2.392929792470016
2037,37Q2,50.85898,0.003380113301760974,0.00726688513005808,404.74209,0.05494586008478108,0.003708897751348126,1017.0505,0.104044899157128,0.002999183538060256,47938.739,0.03936306312210985,0.007096837176875728,42265.801,0.04175693802764213,0.007088779418426267,2.512836013669841,0.04654176193307313,-0.0007070916825365418,3520.9166,0.01771234293480909,-0.01251828889737998,2003.9577,0.132974558021762,-0.005827393307747576,5524.8743,0.05670536215292947,-0.01010183157365734,20.34264,-0.01997092090544102,331.02089,0.04516224141010591,0.002182895131539361,331.02089,0.04516224141010591,0.002182895131539361,427.42928,-0.03484359801916684,0.006732326209898614,1928.2994,0.01643265813958662,0.007043562442125557,11377.008,-0.001974995091899558,0.003468167713573317,27210.163,0.04222762352420439,0.002944089537711883,1961762.3,0.0242581764972036,0.007124446328881835,1729879.6,0.02677566203742617,0.006918594278732773,172.4321807631673,0.0262850845019846,0.003643641854269668,11385.637,0.01988051090960284,0.002182408470920676,123389.5,0.04298151069201967,-0.01231248449602877,2.391680044524887
2037,37Q3,51.22244,0.003613188048206401,0.007146427238611476,406.24384,0.05542988785306087,0.003710387521100063,1020.0836,0.1045878034025598,0.00298225112715641,48277.08,0.03986674081442518,0.007057778470142911,42563.545,0.04228215411395091,0.007044560683943948,2.511013090069255,0.04657620190147846,-0.000725444712933452,3481.7903,0.01960751297449637,-0.01111253245816726,1997.1204,0.1337334862825666,-0.003411898364920534,5478.9107,0.0584450668875161,-0.00831939289550896,20.43316,-0.01933761052942771,331.74121,0.04555606098670267,0.002176056018700255,331.74121,0.04555606098670267,0.002176056018700255,430.36221,-0.03491384627576905,0.006861790095428181,1941.8232,0.01657833182211301,0.007013329983922588,11416.503,-0.001451836955534916,0.003471475101362397,27289.79,0.04280732158017896,0.002926369827332545,1975707.7,0.02475241773096417,0.007108608418053454,1741939.5,0.02716485459923441,0.006971525648374549,173.0571699582613,0.02624235430628119,0.00362455077890851,11410.523,0.02029388660950231,0.002185736292137067,121876.88,0.04373487838824298,-0.01225890371547008,2.390380837284412
