Date,Total_permits_Lakeland,ln_Total_permits_Lakeland
2011-02-01,89.29866933252171,4.4919865866798485
2011-03-01,69.7441580297479,4.24483366134785
2011-04-01,67.7124751444971,4.215270433909881
2011-05-01,85.907477101523,4.453270869457294
2011-06-01,96.00313851826428,4.564380883832022
2011-07-01,95.1630277080294,4.5555915019528745
2011-08-01,126.243490263559,4.83821250455725
2011-09-01,97.5996919873566,4.580874337546819
2011-10-01,66.4620458676557,4.196631045896158
2011-11-01,84.9528108051244,4.442095935329522
2011-12-01,100.754392995112,4.6126858028053634
2012-01-01,134.31169879315,4.900163209140824
2012-02-01,137.116602367805,4.9208316760113
2012-03-01,104.128619888081,4.6456268647142345
2012-04-01,71.99682094981651,4.276621964566491
2012-05-01,118.816421048569,4.7775796216909985
2012-06-01,92.4290206641025,4.52644100578728
2012-07-01,104.486301568487,4.649055977343391
2012-08-01,249.073639253556,5.517748592716382
2012-09-01,101.812309885511,4.623131019060445
2012-10-01,144.690129004785,4.974594414342932
2012-11-01,145.996925489798,4.983585563197553
2012-12-01,115.504418498994,4.7493087846326745
2013-01-01,152.722484701137,5.02862244893638
2013-02-01,135.590287227996,4.909637744828755
2013-03-01,149.849458006544,5.009631176849518
2013-04-01,194.49920168368897,5.270428058596036
2013-05-01,197.856956898509,5.287544329702553
2013-06-01,172.298401412963,5.1492278655625965
2013-07-01,186.227330662548,5.22696813528835
2013-08-01,167.816840420407,5.122873149071309
2013-09-01,174.705654880159,5.1631025857069215
2013-10-01,165.542072336478,5.1092253760238
2013-11-01,153.483809819326,5.033595087974799
2013-12-01,185.780466210366,5.224565687431767
2014-01-01,168.941107913239,5.12955018030578
2014-02-01,229.513608464732,5.435962323885276
2014-03-01,214.015203665999,5.366047057666482
2014-04-01,289.15141215374894,5.666950468402604
2014-05-01,213.701789557946,5.3645815364498235
2014-06-01,178.91457720793,5.186908469631884
2014-07-01,213.595184737859,5.364082563469851
2014-08-01,192.572767672008,5.260474096179153
2014-09-01,236.33891324668096,5.465266847937968
2014-10-01,189.314038150535,5.2434072136829935
2014-11-01,236.97549594404492,5.467956743148583
2014-12-01,212.610954743395,5.359463992065748
2015-01-01,212.22171454568505,5.357631551508487
2015-02-01,182.76233048171696,5.208186568209945
2015-03-01,212.52597249863,5.35906420441875
2015-04-01,215.53363013467097,5.373116953677662
2015-05-01,204.089412664575,5.3185581951953464
2015-06-01,273.30365711534097,5.610583474166634
2015-07-01,193.56243227705104,5.26560010785697
2015-08-01,182.874712038105,5.208801284701209
2015-09-01,280.991222718069,5.6383234329671374
2015-10-01,228.975851195241,5.433616544697759
2015-11-01,269.398652940375,5.596192263742437
2015-12-01,287.071355658612,5.659730810845497
2016-01-01,253.195028243107,5.534160054386508
2016-02-01,214.62150989604,5.368876057680832
2016-03-01,202.509097632856,5.31078481211943
