Date,SF_permits_Florida,ln_SF_permits_Florida
2012-12-01,4099.78544429389,8.318689920663076
2013-01-01,4449.600588177121,8.400569615666207
2013-02-01,4428.854799143811,8.395896319268337
2013-03-01,4506.09698998096,8.413186645390134
2013-04-01,4737.36074320846,8.463235454385241
2013-05-01,4904.225728699769,8.4978525060632
2013-06-01,4595.47992489936,8.43282847436285
2013-07-01,4743.09008309706,8.464444118549224
2013-08-01,4780.5537219016205,8.472311660178418
2013-09-01,4484.94556853027,8.408481638082632
2013-10-01,4843.50572640158,8.485394061151604
2013-11-01,4892.826821863288,8.495525497624412
2013-12-01,4214.69626633588,8.34633280765821
2014-01-01,4726.829811172412,8.461010026585205
2014-02-01,4416.6356318977005,8.393133515981427
2014-03-01,4366.47870115729,8.38171217405815
2014-04-01,4674.81259044858,8.449944353314676
2014-05-01,4521.6790979141515,8.416638685683395
2014-06-01,4570.34401610287,8.427343758101655
2014-07-01,4995.53753243689,8.516300299394151
2014-08-01,4826.27311998411,8.48182983803247
2014-09-01,4961.252573451568,8.50941352280746
2014-10-01,4925.629568403208,8.502207376584344
2014-11-01,4531.86633266545,8.418889127596753
2014-12-01,4824.700291809711,8.48150389615672
2015-01-01,4791.70210567838,8.474640972937753
2015-02-01,5093.75262990639,8.535770093289681
2015-03-01,4997.66589972073,8.51672626236598
2015-04-01,5499.51653454218,8.612415464546372
2015-05-01,5013.90219266732,8.519969771680614
2015-06-01,5925.777601526551,8.687067198155992
2015-07-01,5470.4535674016315,8.607116811064651
2015-08-01,5221.99992672004,8.560635735226144
2015-09-01,5906.870149254781,8.683871384545688
2015-10-01,5603.64402739732,8.631172384275411
2015-11-01,5925.157530955649,8.686962553152954
2015-12-01,6266.6415216225,8.742995847634832
2016-01-01,5752.540590502271,8.657396878034522
2016-02-01,6096.5216376624085,8.715473664188217
2016-03-01,6054.5867714569495,8.708571407821337
2016-04-01,5837.685629070239,8.672089700884023
2016-05-01,6229.577558959821,8.737063801931873
2016-06-01,6239.99331950896,8.738734390771388
2016-07-01,5862.04066546848,8.676253058378895
2016-08-01,6973.192578927828,8.849828444640854
2016-09-01,6458.94131441122,8.773220700128249
2016-10-01,5512.87733239626,8.614841967733803
2016-11-01,6213.0106943961,8.734400871355646
2016-12-01,6760.731403854928,8.81888635902079
2017-01-01,6454.4786683291695,8.77252953601128
2017-02-01,6656.65105572728,8.803371792580355
2017-03-01,7397.85062347978,8.908944780715148
2017-04-01,6747.58687732488,8.816940220292766
2017-05-01,7192.951100431079,8.880856811628076
2017-06-01,7389.157598959259,8.907769015422913
2017-07-01,6793.480050666351,8.82371861512755
2017-08-01,7690.65642291037,8.947761419443205
2017-09-01,5734.744054493161,8.654298399882867
2017-10-01,6791.67213605469,8.823452454749296
2017-11-01,7332.224455981191,8.900034221690856
2017-12-01,7031.228224111172,8.858116681366734
2018-01-01,7628.90571376972,8.939699695089978
2018-02-01,7217.176500890419,8.884219089041814
2018-03-01,7369.3689811900995,8.905087361597856
2018-04-01,8754.046735544953,9.077271356501148
2018-05-01,7906.06833178277,8.975385886847711
2018-06-01,8204.90909272646,9.012487923965734
2018-07-01,8305.21629937472,9.02463906618443
2018-08-01,7829.439925490221,8.965646257114912
2018-09-01,7457.875884035508,8.917025918609875
