Date,CPI_value,ln_CPI_value
2008-10-01,216.995,5.3798743118003465
2008-11-01,213.153,5.362010217707528
2008-12-01,211.398,5.353742612653447
2009-01-01,211.933,5.356270186985713
2009-02-01,212.705,5.359906229217159
2009-03-01,212.495,5.358918458675886
2009-04-01,212.709,5.359925034428083
2009-05-01,213.022,5.3613954467607305
2009-06-01,214.79,5.369660806616172
2009-07-01,214.726,5.369362796761016
2009-08-01,215.445,5.372705656551895
2009-09-01,215.861,5.374634682018732
2009-10-01,216.509,5.377632117017317
2009-11-01,217.234,5.380975113562248
2009-12-01,217.347,5.3814951547170455
2010-01-01,217.488,5.382143676592892
2010-02-01,217.281,5.381191446716147
2010-03-01,217.353,5.381522759962044
2010-04-01,217.403,5.38175277403992
2010-05-01,217.29,5.381232866875345
2010-06-01,217.199,5.380813983997617
2010-07-01,217.605,5.382681492658975
2010-08-01,217.923,5.384141789386214
2010-09-01,218.275,5.385755735696871
2010-10-01,219.035,5.389231534398666
2010-11-01,219.59,5.3917621712579
2010-12-01,220.472,5.395770702696749
2011-01-01,221.187,5.399008497577555
2011-02-01,221.898,5.402217816828981
2011-03-01,223.046,5.407378028214637
2011-04-01,224.093,5.412061144263693
2011-05-01,224.806,5.415237808054813
2011-06-01,224.806,5.415237808054813
2011-07-01,225.395,5.4178544185734765
2011-08-01,226.106,5.4210039158623875
2011-09-01,226.597,5.423173109318271
2011-10-01,226.75,5.423848088995246
2011-11-01,227.169,5.425694233875741
2011-12-01,227.223,5.42593191411771
2012-01-01,227.842,5.4286524062749715
2012-02-01,228.329,5.430787571311839
2012-03-01,228.807,5.4328788534432375
2012-04-01,229.187,5.434538264209312
2012-05-01,228.713,5.43246794243903
2012-06-01,228.524,5.431641237641456
2012-07-01,228.59,5.431930005871957
2012-08-01,229.918,5.43772272361508
2012-09-01,231.015,5.442482643478538
2012-10-01,231.638,5.445175808232938
2012-11-01,231.249,5.443495052058861
2012-12-01,231.221,5.443373963123214
