Date,Total_permits_Florida,ln_Total_permits_Florida
2008-04-01,5978.399490774711,8.695908167438557
2008-05-01,5528.585896432392,8.61768734688489
2008-06-01,5999.129948706352,8.699369729146495
2008-07-01,4866.60468366512,8.490151782714017
2008-08-01,5472.45793373516,8.607483142521454
2008-09-01,5737.2557441012095,8.654736281628383
2008-10-01,3867.5721488952295,8.260382237449745
2008-11-01,3463.0257350954403,8.149897975820215
2008-12-01,3353.49177592684,8.117757403151765
2009-01-01,2905.81866157136,7.974470440796862
2009-02-01,3663.0207082169,8.2060434161117
2009-03-01,2686.57498542243,7.896022421717715
2009-04-01,2188.6669767109697,7.691047951052405
2009-05-01,2487.26616669867,7.818939461276939
2009-06-01,3319.8345748836305,8.107670233826855
2009-07-01,3007.074013990169,8.00872279658324
2009-08-01,2637.59728710771,7.877623663211235
2009-09-01,3289.38456242757,8.098455763169012
2009-10-01,3125.5036818901294,8.047350727387531
2009-11-01,3347.4876212339,8.115965379644793
2009-12-01,3662.00945542596,8.205767307269888
2010-01-01,3825.09408382808,8.249338343037369
2010-02-01,3537.6621639552795,8.171221382301594
2010-03-01,3584.44451044454,8.184358792755901
2010-04-01,3614.258566327539,8.192642014339313
2010-05-01,3075.6253867650703,8.031263537371935
2010-06-01,3065.92744356425,8.0281053942999
2010-07-01,2853.16387472782,7.956183789005846
2010-08-01,3027.8452592580297,8.015606509968176
2010-09-01,2994.41899956823,8.004505501603562
2010-10-01,2868.1248537006104,7.9614137341403755
2010-11-01,2977.41665430584,7.998811309000847
2010-12-01,3233.47033634427,8.081311246990932
2011-01-01,2974.78633282922,7.997927494502745
2011-02-01,3060.5970619600503,8.026365294200927
2011-03-01,3544.10302794488,8.173040382392957
2011-04-01,3111.11717102901,8.042737159649977
2011-05-01,3415.7187796053095,8.136143227048102
2011-06-01,3642.2755643182895,8.20036392033528
2011-07-01,4067.67923788794,8.31082790398291
2011-08-01,3986.91727007584,8.290773597247798
2011-09-01,3857.1482255453498,8.257683387738238
2011-10-01,3644.73789395146,8.201039733476284
2011-11-01,4213.4945188962,8.34604763436813
2011-12-01,4310.45137930692,8.368797905991636
2012-01-01,4548.2363045516495,8.422494811425597
2012-02-01,3711.143765453,8.219095400664022
2012-03-01,4692.7944948248105,8.453783525111522
2012-04-01,4418.6826999459,8.393596898965027
2012-05-01,5279.639680139009,8.571613131973773
2012-06-01,4946.1265156255295,8.506360027136651
2012-07-01,5016.08135817494,8.520404301913064
2012-08-01,5978.54817647134,8.695933037614587
2012-09-01,8902.136446640461,9.094046577097117
2012-10-01,5511.801149552641,8.614646736127039
2012-11-01,6057.590886511129,8.709067456541991
2012-12-01,5339.69624008211,8.582924046456537
2013-01-01,6153.452725632,8.72476862206594
2013-02-01,6825.95153511425,8.828487029399584
2013-03-01,7053.09813520264,8.861222251077443
2013-04-01,9200.955797048431,9.127062648624362
2013-05-01,9391.23355555522,9.147531932642861
2013-06-01,5962.710951694889,8.693280514309933
2013-07-01,7092.88985766923,8.866848132767583
2013-08-01,6552.34650089456,8.787578508886472
2013-09-01,7038.49675027242,8.859149896560506
2013-10-01,7653.6686520556195,8.942940374227515
2013-11-01,7718.652342306859,8.951395060721522
2013-12-01,6186.4126443573205,8.730110657188593
2014-01-01,7408.121972034431,8.910332241097926
2014-02-01,7573.647358731991,8.932430047928646
2014-03-01,5701.154706657751,8.648424013421456
2014-04-01,6978.65504720365,8.850611490542919
2014-05-01,6664.689961747061,8.80457871416356
2014-06-01,7011.481720657679,8.855304330111704
2014-07-01,7699.427307653299,8.94890122944633
2014-08-01,6767.81884643297,8.819934134738856
2014-09-01,6724.1308121742495,8.813457948856557
2014-10-01,8004.114289088919,8.987710974598297
2014-11-01,6137.830506841249,8.722226621054729
2014-12-01,8146.943140770171,9.005398061124653
2015-01-01,7588.44825522816,8.93438240353626
2015-02-01,8808.98967255804,9.083528032735178
2015-03-01,8338.2599080266,9.028609829462068
2015-04-01,7805.889555504499,8.962633798973352
2015-05-01,8643.75061604897,9.064591866684097
2015-06-01,9003.020718106569,9.105315435350589
2015-07-01,8265.915913294071,9.019895822420622
2015-08-01,7226.7023414123905,8.885538103415593
2015-09-01,11363.5388792745,9.338165164825426
2015-10-01,8603.06550964978,9.059873873337187
2015-11-01,9630.113616446819,9.172650302899813
2015-12-01,11143.678353841,9.318627652322448
2016-01-01,7794.4526507560595,8.961167561034953
2016-02-01,9363.46254276287,9.144570430846844
2016-03-01,9375.23553340838,9.14582697408658
2016-04-01,8800.08201826706,9.082516320680485
2016-05-01,8611.67492837147,9.060874111414604
2016-06-01,8657.995498306049,9.06623850805562
2016-07-01,8892.4475266676,9.092957602952527
2016-08-01,10300.0056465504,9.239899722426353
2016-09-01,10824.2804331645,9.289547077974401
2016-10-01,9566.20592254468,9.165991950513325
