observation_date,LAKE412BP1FHSA
2015-06-01,275.60115963852400
2015-07-01,200.57281957430001
2015-08-01,188.03666989938401
2015-09-01,267.39334833589402
2015-10-01,246.95547295533800
2015-11-01,263.50961813914904
2015-12-01,279.49581149932402
2016-01-01,261.15081759323698
2016-02-01,214.30666282131600
2016-03-01,202.99675964274300
2016-04-01,242.77274549363705
2016-05-01,246.13678232628504
2016-06-01,263.32626465914001
2016-07-01,260.16953207243802
2016-08-01,276.35676245959502
2016-09-01,243.25862336368695
2016-10-01,249.76510141098305
2016-11-01,247.73682994555799
2016-12-01,298.00545392165299
2017-01-01,400.75843583438103
2017-02-01,317.85974671634898
2017-03-01,313.83126199712700
2017-04-01,305.59869819860296
2017-05-01,346.91539910321603
2017-06-01,317.44036616742801
2017-07-01,360.85944532203104
2017-08-01,346.11943760978500
2017-09-01,212.43519355389705
2017-10-01,404.82536047735198
2017-11-01,328.68825129600401
2017-12-01,304.83859180808702
2018-01-01,331.07880789806200
2018-02-01,315.25412847255700
2018-03-01,405.30967539793505
2018-04-01,383.42708646612999
2018-05-01,367.64265762100410
2018-06-01,432.08475021125696
2018-07-01,338.65050009479000
2018-08-01,333.40851207365199
2018-09-01,358.97675499205297
2018-10-01,367.93006380179003
2018-11-01,396.67274793955295
2018-12-01,520.37814093237603
2019-01-01,402.72096197502702
2019-02-01,435.58773859105298
2019-03-01,419.34553602040000
2019-04-01,458.38260931232799
2019-05-01,489.50969598735202
2019-06-01,481.71043999701698
2019-07-01,514.56828277538091
2019-08-01,545.11661817999106
2019-09-01,486.85033770071800
2019-10-01,623.71189218861900
2019-11-01,580.26683371992794
2019-12-01,503.11305905747400
2020-01-01,656.20994503599002
2020-02-01,586.44974336378300
2020-03-01,493.46813910681391
2020-04-01,321.23078460795602
2020-05-01,323.66402776826402
2020-06-01,516.42397558598100
2020-07-01,575.49791856416005
2020-08-01,594.02783430869101
2020-09-01,760.73951929625787
2020-10-01,744.35402087416401
2020-11-01,795.91146529660000
2020-12-01,914.16872826828001
2021-01-01,828.55232856756606
2021-02-01,761.50421955006300
2021-03-01,775.51442191239596
2021-04-01,764.74103142884098
2021-05-01,711.68884796158397
2021-06-01,694.97051854204403
2021-07-01,838.39509345904094
2021-08-01,782.03060317176698
2021-09-01,774.11596533331408
2021-10-01,741.21576116454412
2021-11-01,820.06462605900401
2021-12-01,760.88312358648091
2022-01-01,841.38034991014501
2022-02-01,980.24057327115804
2022-03-01,940.23375584019698
2022-04-01,1102.19453958921008
2022-05-01,783.27817529518700
2022-06-01,760.25276697325182
2022-07-01,641.62111721421900
2022-08-01,627.40515368388003
2022-09-01,521.79208126837102
2022-10-01,610.10330600145596
2022-11-01,443.35186896221705
2022-12-01,415.59050413856306
2023-01-01,486.93233346415610
2023-02-01,519.02401731298198
2023-03-01,741.75028019970398
2023-04-01,630.45300524208608
2023-05-01,753.75841960105890
2023-06-01,845.89189345781404
2023-07-01,769.81349080347104
2023-08-01,795.81483480879183
2023-09-01,927.77420135592604
2023-10-01,893.90065640602018
2023-11-01,793.90121713372093
2023-12-01,1045.01941472738008
2024-01-01,1226.50230882423989
2024-02-01,807.89311192120988
2024-03-01,626.80082091661291
2024-04-01,769.93971542751490
2024-05-01,783.50843242824703
2024-06-01,556.53238882844096
2024-07-01,690.04300390700803
2024-08-01,683.76535059152093
2024-09-01,633.16479799127694
2024-10-01,559.48356564411699
2024-11-01,587.05565036789108
2024-12-01,616.95439354124892
