observation_date,LAKE412BPPRIVSA
2015-05-01,204.08941266457501
2015-06-01,273.30365711534097
2015-07-01,193.56243227705104
2015-08-01,182.87471203810500
2015-09-01,280.99122271806903
2015-10-01,228.97585119524101
2015-11-01,269.39865294037497
2015-12-01,287.07135565861199
2016-01-01,253.19502824310700
2016-02-01,214.62150989604001
2016-03-01,202.50909763285600
2016-04-01,261.60072310978001
2016-05-01,262.82919305970796
2016-06-01,533.34515199305997
2016-07-01,374.61491623836190
2016-08-01,548.22617578544896
2016-09-01,281.77973178891602
2016-10-01,231.53352493060001
2016-11-01,253.21699435642199
2016-12-01,302.90230667115299
2017-01-01,404.36459236249601
2017-02-01,317.48665802979099
2017-03-01,310.22314776535001
2017-04-01,317.95984934785702
2017-05-01,377.95936571573503
2017-06-01,338.63697765957698
2017-07-01,376.26484391815507
2017-08-01,327.63375857474801
2017-09-01,206.70555417789200
2017-10-01,384.08258188304001
2017-11-01,334.20211774867101
2017-12-01,302.57753538389102
2018-01-01,344.73516107808001
2018-02-01,326.35525241088300
2018-03-01,401.00506991282305
2018-04-01,380.12708554794398
2018-05-01,411.82324988338598
2018-06-01,430.19427755334306
2018-07-01,341.96518923612803
2018-08-01,305.18695961386197
2018-09-01,340.56542513339804
2018-10-01,362.20319504165002
2018-11-01,403.98090058532301
2018-12-01,497.60373017177102
2019-01-01,430.38891056343010
2019-02-01,467.08413425883293
2019-03-01,420.87847380746302
2019-04-01,447.21008722796398
2019-05-01,857.39715706230299
2019-06-01,511.12045435154505
2019-07-01,542.25345600789205
2019-08-01,674.00712056951397
2019-09-01,712.16439105960603
2019-10-01,933.44442620896700
2019-11-01,854.92443548208212
2019-12-01,699.61705015060897
2020-01-01,715.23862091719411
2020-02-01,681.02724008348196
2020-03-01,663.30460782940997
2020-04-01,312.06520582767399
2020-05-01,428.74661921200106
2020-06-01,869.45068225804789
2020-07-01,846.65233841828604
2020-08-01,507.84352501277505
2020-09-01,937.79556176514598
2020-10-01,1094.66237120472010
2020-11-01,1071.57383156318997
2020-12-01,1007.87682766599005
2021-01-01,949.74230934430000
2021-02-01,915.80510523100668
2021-03-01,1136.61035257760000
2021-04-01,1181.71196493063007
2021-05-01,864.23273644224707
2021-06-01,743.97027937661403
2021-07-01,841.28369222736194
2021-08-01,892.51759767755982
2021-09-01,1063.64211684938005
2021-10-01,857.91704224723901
2021-11-01,930.14923363591004
2021-12-01,726.32753572179718
2022-01-01,966.02078034298097
2022-02-01,1189.88947705238002
2022-03-01,1506.13042441916991
2022-04-01,1041.86255494750003
2022-05-01,1011.69588088395005
2022-06-01,1124.80686629304000
2022-07-01,753.42748217990402
2022-08-01,1056.28664626103023
2022-09-01,807.67400726658309
2022-10-01,617.84449487159509
2022-11-01,751.73104171678096
2022-12-01,858.52085821410003
2023-01-01,647.96171311995499
2023-02-01,1315.31577573500999
2023-03-01,819.85005371132002
2023-04-01,1166.64456741222011
2023-05-01,934.27244723308195
2023-06-01,1083.70482453982004
2023-07-01,1339.04092529368017
2023-08-01,1145.21236873182011
2023-09-01,934.60732573982591
2023-10-01,1111.23625552115004
2023-11-01,868.82825589930496
2023-12-01,1030.24366985648021
2024-01-01,1474.50427121745997
2024-02-01,897.41565444988100
2024-03-01,878.13621633590299
2024-04-01,741.17679205305694
2024-05-01,1083.69045023627996
2024-06-01,640.37134674961294
2024-07-01,704.58561296909318
2024-08-01,746.40571875428100
2024-09-01,679.12619973509504
2024-10-01,617.79496051596493
2024-11-01,1243.82339730935996
2024-12-01,957.89086220741206
