observation_date,FLBPPRIVSA
2022-11-01,15648.4437198170999
2022-12-01,15992.8347983887979
2023-01-01,15135.8677009218009
2023-02-01,18537.9830202101984
2023-03-01,17925.1066789748984
2023-04-01,13261.0816864045992
2023-05-01,14164.4216563361006
2023-06-01,16863.9790814926018
2023-07-01,15646.4228907691995
2023-08-01,16361.1505265471005
2023-09-01,16230.1850935003004
2023-10-01,15508.1633606269006
2023-11-01,15877.1924127097009
2023-12-01,15871.9948669249006
2024-01-01,16395.4463379008994
2024-02-01,14990.9046638535001
2024-03-01,14203.8828874418996
2024-04-01,15919.7795503048001
2024-05-01,15952.6730515191994
2024-06-01,14001.8608107606997
2024-07-01,15373.3755284731997
2024-08-01,14326.7537843067985
2024-09-01,12785.5574556984993
2024-10-01,13880.2666972112020
2024-11-01,13328.9455507176008
2024-12-01,12915.2812024962004
